file_id,source_id,content_id,relative_path,system,extension,bytes,sha256,line_count,evidence_type,research_status,source_quality,version_duplicate_status,duplicate_of_paths,structured_data_value,implementation_relevance,table_count_estimate,review_status
FILE-104F18D10FA0CC5E,SRC-1186905DAB707EB2,CONTENT-06BC53594BCF7BC6,00-governance/decision-hub-five-engine-research-briefing.zip,governance,.zip,11638,E6AC1FC5FBAF52AC15622AC5DE0A529006179962CA3F303DDE27645504645650,0,archive_bundle,historical_container_unassessed,unknown,currentness_unresolved,,low,low_or_contextual,0,machine_classified_needs_human_review
FILE-A7BB2FDD9BF63C7C,SRC-629D5FF12BE08F45,CONTENT-0BE2C56882809DE6,00-governance/decision-hub-research-briefing/00-START-HERE.md,governance,.md,1999,4F480A6F2960BB659996174645CB0E36EFA35CB92F5422EEDA9E3CFF15082A02,60,documentation_or_other,context_or_design_not_validated,not_evidence_by_itself,currentness_unresolved,,low,low_or_contextual,0,machine_classified_needs_human_review
FILE-B7D3FDDEFD3E95D3,SRC-585E88F8B8308805,CONTENT-EEC7724A4273A800,00-governance/decision-hub-research-briefing/01-OWNER-INTENT.md,governance,.md,2088,CEF978D7A2940106DE5FD4518233CDFDB15CF635657AB3628F379B4EA7FCF780,46,documentation_or_other,context_or_design_not_validated,not_evidence_by_itself,currentness_unresolved,,medium,low_or_contextual,0,machine_classified_needs_human_review
FILE-D6D89C226216E879,SRC-DDFA02FEF47EB15C,CONTENT-E610C426569CDBA1,00-governance/decision-hub-research-briefing/02-RESEARCH-MISSION.md,governance,.md,3072,A8C919E211E6DCEDE4F20690C6A1A76EFCEAECA59F71FE5D691112F49E8B3B1C,77,research_synthesis_or_evidence_pack,candidate_evidence_unverified,secondary_or_unknown,currentness_unresolved,,medium,medium_requires_review,0,machine_classified_needs_human_review
FILE-1BD03077587C81DA,SRC-C1A0C58D022A65D5,CONTENT-D72AA256A15E3BE7,00-governance/decision-hub-research-briefing/03-FIVE-ENGINE-QUESTIONS.md,governance,.md,4793,D12AD2EC86BB1CE757F8819CECFBE4AF964E73B1A852D2C8431A2EE153574EC4,129,documentation_or_other,context_or_design_not_validated,not_evidence_by_itself,currentness_unresolved,,medium,low_or_contextual,0,machine_classified_needs_human_review
FILE-F19B24BC0BBEEB21,SRC-3C74A9A1E51A148D,CONTENT-204B09038316D0CC,00-governance/decision-hub-research-briefing/04-EVIDENCE-TO-RULE-PIPELINE.md,governance,.md,1989,E6B14316CD6ED67DD5BD48C960A4B47F7EC7847B6CA8356B450E3AF661A0AC4A,87,research_synthesis_or_evidence_pack,candidate_evidence_unverified,secondary_or_unknown,currentness_unresolved,,low,medium_requires_review,0,machine_classified_needs_human_review
FILE-CF1A18E6C7955888,SRC-704152BCBAC1E106,CONTENT-8F2476EA21D0314A,00-governance/decision-hub-research-briefing/05-TWO-DAY-FIRST-SPRINT.md,governance,.md,2003,D23D9A7D88A43B57CBFE9160644F3B7F5D6CC87B501F31A6E9876E4B694D4C08,57,documentation_or_other,context_or_design_not_validated,not_evidence_by_itself,currentness_unresolved,,low,low_or_contextual,0,machine_classified_needs_human_review
FILE-8723FD46B148822F,SRC-3EB2AD8B725BC5EB,CONTENT-42002ED8237DA691,00-governance/decision-hub-research-briefing/06-CHATGPT-OPERATING-PROMPT.md,governance,.md,1834,DEA8BADD1357B4C353C7FA506730B69571B44B8C41C05539609F825B25C308C1,28,ai_handoff_or_working_note,context_or_design_not_validated,not_evidence_by_itself,currentness_unresolved,,low,low_or_contextual,0,machine_classified_needs_human_review
FILE-3EB28A909F9871B3,SRC-6E22399ADA60D500,CONTENT-C0DDCE27DCBEC62A,00-governance/decision-hub-research-briefing/templates/candidate-rule.yaml,governance,.yaml,251,DD3A63768ABF0EDF109951FF994B94150348486AEDE2AA239AEDF36AB232EDA8,17,structured_data,context_or_design_not_validated,not_evidence_by_itself,currentness_unresolved,,high,high_candidate_not_authorized,0,machine_classified_needs_human_review
FILE-77D4726B1F7902E0,SRC-C4E67DFBC93B3D5F,CONTENT-FBB8E54B156EAB67,00-governance/decision-hub-research-briefing/templates/evidence-claim.yaml,governance,.yaml,487,10E5360F9FFA5F2305FDCEBA1C7B4DA99B1714E8C98E8A9DCBD8C11147ACC0AF,29,claim_registry,candidate_evidence_unverified,secondary_or_unknown,currentness_unresolved,,high,high_candidate_not_authorized,0,machine_classified_needs_human_review
