exercise_id,name,category,movement_pattern,equipment,primary_muscles,secondary_muscles,difficulty,role,is_unilateral,is_compound,tracking_mode,default_rep_range,default_rest_seconds,coaching_cues,aliases,search_terms,source_aliases,source_occurrences,built_in
core-barbell-curl,Barbell Curl,Arms,arms,barbell; rack or bench,biceps,forearms,intermediate,accessory,False,False,reps_load,8–15 reps,60,Keep the upper arm stable.; Use the full comfortable range without swinging.; Control the eccentric.,,Arms; Barbell Curl; arms; barbell; barbell curl; biceps; forearms; rack or bench,barbell curl,1,True
core-cable-tricep-pushdown,Cable Tricep Pushdown,Arms,arms,cable station,triceps,forearms,intermediate,accessory,False,False,reps_load,8–15 reps,60,Keep the upper arm stable.; Use the full comfortable range without swinging.; Control the eccentric.,,Arms; Cable Tricep Pushdown; arms; cable station; cable tricep pushdown; forearms; triceps,cable tricep pushdown,5,True
core-dumbbell-curl,Dumbbell Curl,Arms,arms,dumbbells; bench optional,biceps,forearms,intermediate,accessory,False,False,reps_load,8–15 reps,60,Keep the upper arm stable.; Use the full comfortable range without swinging.; Control the eccentric.,DB Curl; Dumbbell Bicep Curl,Arms; DB Curl; Dumbbell Bicep Curl; Dumbbell Curl; arms; bench optional; biceps; dumbbells; forearms,,0,True
core-hammer-curl,Hammer Curl,Arms,arms,free weights or bodyweight,biceps,forearms,intermediate,accessory,False,False,reps_load,8–15 reps,60,Keep the upper arm stable.; Use the full comfortable range without swinging.; Control the eccentric.,DB Hammer Curl; Hammer Curls,Arms; DB Hammer Curl; Hammer Curl; Hammer Curls; arms; biceps; forearms; free weights or bodyweight,,90,True
core-overhead-tricep-extension,Overhead Tricep Extension,Arms,arms,free weights or bodyweight,triceps,forearms,intermediate,accessory,False,False,reps_load,8–15 reps,60,Keep the upper arm stable.; Use the full comfortable range without swinging.; Control the eccentric.,,Arms; Overhead Tricep Extension; arms; forearms; free weights or bodyweight; triceps,,0,True
core-preacher-curl,Preacher Curl,Arms,arms,free weights or bodyweight,biceps,forearms,intermediate,accessory,False,False,reps_load,8–15 reps,60,Keep the upper arm stable.; Use the full comfortable range without swinging.; Control the eccentric.,,Arms; Preacher Curl; arms; biceps; forearms; free weights or bodyweight,,6,True
core-skull-crusher,Skull Crusher,Arms,arms,free weights or bodyweight,triceps,forearms,intermediate,accessory,False,False,reps_load,8–15 reps,60,Keep the upper arm stable.; Use the full comfortable range without swinging.; Control the eccentric.,,Arms; Skull Crusher; arms; forearms; free weights or bodyweight; triceps,,8,True
core-assault-bike,Assault Bike,Cardio,conditioning,cardio machine,cardiorespiratory system,legs; trunk,intermediate,conditioning,False,False,duration_distance,duration / distance,0,"Start below maximum effort.; Keep the rhythm repeatable.; Use duration, distance, and RPE to guide progression.",,Assault Bike; Cardio; cardio machine; cardiorespiratory system; conditioning; legs; trunk,,115,True
core-cycling,Cycling,Cardio,conditioning,cardio machine,cardiorespiratory system,legs; trunk,beginner,conditioning,False,False,duration_distance,duration / distance,0,"Start below maximum effort.; Keep the rhythm repeatable.; Use duration, distance, and RPE to guide progression.",,Cardio; Cycling; cardio machine; cardiorespiratory system; conditioning; legs; trunk,,0,True
core-jump-rope,Jump Rope,Cardio,conditioning,jump rope,cardiorespiratory system,legs; trunk,intermediate,conditioning,False,False,duration_distance,duration / distance,0,"Start below maximum effort.; Keep the rhythm repeatable.; Use duration, distance, and RPE to guide progression.",,Cardio; Jump Rope; cardiorespiratory system; conditioning; jump rope; legs; trunk,,0,True
