claim_id,system,claim_text,claim_type_as_documented,confidence_as_documented,implementation_or_status_as_documented,source_boundary_as_documented,normalized_status,source_id,source_relative_path,source_line,review_status
S-001,strength,"MacroFactor Workouts Smart Generation uses goal, experience, schedule, duration, equipment, exclusions and emphasis.",Product fact,High,Persist setup inputs and provenance.,[MacroFactor generation inputs](https://help.macrofactorapp.com/en/articles/370-what-information-does-macrofactor-workouts-use-to-generate-your-program).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,8,extracted_untrusted_pending_source_validation
S-002,strength,MacroFactor programs stay structurally stable unless edited/replaced; logged workouts update recommendations.,Product fact,High,Separate `ProgramSnapshot` from `ProgressionRecommendation`.,[Program updates](https://help.macrofactorapp.com/en/articles/369-how-often-does-my-program-update).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,9,extracted_untrusted_pending_source_validation
S-003,strength,"MacroFactor Smart Progression uses load, reps, RIR, expectations and exercise history.",Product fact,High,Implement public performance signal; keep exact estimator unknown.,[Smart Progression](https://help.macrofactorapp.com/en/articles/305-understanding-and-using-smart-progressions).,unsupported_or_rejected_claim,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,10,extracted_untrusted_pending_source_validation
S-004,strength,MacroFactor’s public nonfailure example uses midpoint rep target plus RIR as expected failure performance.,Product fact,High,Add `rir.expectedFailure.v1`.,[Progressive overload](https://help.macrofactorapp.com/en/articles/372-what-does-progressive-overload-mean-in-macrofactor-workouts).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,11,extracted_untrusted_pending_source_validation
S-005,strength,MacroFactor can lower recommendations after harder-than-expected performance.,Product fact,High,Treat as non-punitive bounded adjustment.,[Lowering load/reps](https://help.macrofactorapp.com/en/articles/373-why-does-the-app-sometimes-recommend-lowering-weight-or-reps).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,12,extracted_untrusted_pending_source_validation
S-006,strength,Expand Rep Range and Weight Match address equipment jumps and target-fit problems.,Product fact,High,Implement explicit constraint solver and warning states.,[Smart Progression options](https://help.macrofactorapp.com/en/articles/305-understanding-and-using-smart-progressions).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,13,extracted_untrusted_pending_source_validation
S-007,strength,"RIR is 0–6+, optional but recommended, and needs individual calibration.",Product fact,High,Store RIR confidence and missingness.,[MacroFactor RIR](https://help.macrofactorapp.com/en/articles/385-what-is-rir-and-how-should-i-use-it-during-training).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,14,extracted_untrusted_pending_source_validation
S-008,strength,"MacroFactor supports periodized sets, reps and RIR plus first/last/no deload choices.",Product fact,High,Store cycle targets and explicit deload policy.,[Periodization](https://help.macrofactorapp.com/en/articles/389-how-can-i-customize-periodization-rir-reps-and-sets-for-the-exercises-in-my-program) · [Deload](https://help.macrofactorapp.com/en/articles/297-deload-first-cycle-or-last-cycle).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,15,extracted_untrusted_pending_source_validation
S-009,strength,Session edits can remain temporary; program updates require explicit choice.,Product fact,High,Default to reversible session-only edit.,[Update Program toggle](https://help.macrofactorapp.com/en/articles/395-what-does-the-update-program-toggle-do).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,16,extracted_untrusted_pending_source_validation
S-010,strength,MacroFactor Workouts and Nutrition are separate apps with no automatic cross-prescription.,Product fact,High,Use explicit nutrition/training boundary.,[Integration](https://help.macrofactorapp.com/en/articles/381-how-does-macrofactor-workouts-integrate-with-macrofactor-nutrition).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,17,extracted_untrusted_pending_source_validation
