contradiction_id,left,right,relationship,analysis_or_resolution,status,source_ids,owner
CON-001,The product is named THE Hybrid System.,Many archived artifacts call it Hybrid Engine.,terminology_conflict,Resolve only in new platform material; preserve source filenames and quoted titles unchanged.,resolved_for_new_outputs,,UNASSIGNED
CON-002,"Some documents label their material validated, final, or high confidence.",No independent corpus-wide source verification or schema validation accompanied those labels.,qualifies,"Treat labels as document assertions, not review results.",open_validation,,UNASSIGNED
CON-003,Inherited +2.5% progression and -5% reduction are described as project defaults.,"The strength claim matrix explicitly says they are project facts, not science.",qualifies,"Keep as inactive policy candidates until owned, tested, and validated.",open_policy,,UNASSIGNED
CON-004,A single readiness score is attractive for coordination.,"Corpus safety claims say pain, illness, missingness, fatigue and performance must not collapse into one override scalar.",contradicts,Use a vector state plus hard-constraint precedence; optional score cannot clear safety states.,architecture_resolution,,UNASSIGNED
CON-005,Fixed readiness threshold can block heavy lifting.,Cross-system claim CR-018 rejects a universal threshold as unsupported.,contradicts,No universal threshold in executable rules.,rejected,,UNASSIGNED
CON-006,Two missed sessions implies deload.,Cross-system claim CR-017 rejects this as a validated universal rule.,contradicts,Treat missed sessions as context only.,rejected,,UNASSIGNED
CON-007,7700 kcal/kg can provide transparent target arithmetic.,Nutrition registry labels symmetric 7700 conversion as HYBRID_INFERENCE/prototype rather than validated physiology for all contexts.,qualifies,Retain only as an explicitly versioned approximation; not active clinical logic.,open_validation,,UNASSIGNED
CON-008,ACWR can be represented from acute/chronic load.,Strength claim S-043 says universal ACWR injury-risk thresholds are unreliable.,qualifies,Retain contextual histories; do not create a danger threshold.,architecture_resolution,,UNASSIGNED
CON-009,Product pages document observable competitor behavior.,They do not scientifically validate THE Hybrid System or reveal private coefficients.,qualifies,Classify as product precedent only.,architecture_resolution,,UNASSIGNED
CON-010,Exact duplicate files appear in different system folders and historical packs.,Path context differs even when bytes are identical.,duplicates,Use one canonical content hash while preserving every occurrence.,resolved_by_hash_registry,,UNASSIGNED
CON-011,Nutrition formula registry documents an update gate of at least 4 valid nutrition days and 1 valid weight day in 7.,The archived adaptive_engine.py applies a 6-of-7 adherence condition across two weeks for a different adjustment path.,contradicts,"Do not merge these into one rule; specify purpose, horizon and evidence before implementation.",open_rule_conflict,,UNASSIGNED
CON-012,Nutrition protein targets are expressed on a fat-free-mass basis in the formula registry.,Other nutrition material and prototype code use body-mass bases in places.,contradicts,Require explicit metric basis and population policy; no silent conversion.,open_metric_semantics,,UNASSIGNED
CON-013,The archived governance decision-receipt schema requires an `engine` property.,"Its defined properties use `system`, so conforming instances cannot satisfy the required field under additionalProperties=false.",contradicts,New canonical schema uses explicit model/system lineage; archived schema remains preserved and flagged invalid for adoption.,resolved_in_new_schema,,UNASSIGNED
CON-014,The target architecture has five domain systems feeding control.,"Existing cross-system proposal contracts cover Strength and Conditioning but not complete Nutrition, Recovery and Coordinator proposal payloads.",qualifies,Treat current contracts as partial and use the new five-system interface design as a schema-design starting point only.,open_interface_gap,,UNASSIGNED
CON-015,Archived Coach Brain material proposes LLM-style runtime coaching behavior.,The governing requirement restricts LLMs to untrusted offline assistance and requires deterministic non-LLM runtime decisions.,contradicts,Exclude LLM Coach Brain behavior from runtime model registry and executable rules.,rejected_for_runtime,,UNASSIGNED
