formula_id,system,status_as_documented,expression,units,source_class_as_documented,implementation_note,source_id,source_relative_path,source_line,review_status
rir.expectedFailure.v1,strength,(repMin + repMax) ÷ 2 + targetRir,reps,PRODUCT` anchor,Mirrors MacroFactor’s public 7–9 reps at 2 RIR example. Exact production history weighting is unknown.,,SRC-66F207FF19AB7FC8,01-strength/THE_Hybrid_Strength_Formula_Registry.md,20,extracted_untrusted_pending_formula_and_source_validation
rir.observedFailure.v1,strength,completedReps + reliableActualRir,reps,HYBRID_POLICY,Only compute when actual RIR is present and reliable.,,SRC-66F207FF19AB7FC8,01-strength/THE_Hybrid_Strength_Formula_Registry.md,21,extracted_untrusted_pending_formula_and_source_validation
progression.signal.v1,strength,observedFailureReps − expectedFailureReps,reps,HYBRID_POLICY,"Positive means above target; use history, not one set alone.",,SRC-66F207FF19AB7FC8,01-strength/THE_Hybrid_Strength_Formula_Registry.md,22,extracted_untrusted_pending_formula_and_source_validation
load.progressionDefault.v1,strength,stableOpeningLoad × 1.025,load units,HYBRID_POLICY,Existing Hybrid default; round to available equipment. Not MacroFactor/RP source code.,,SRC-66F207FF19AB7FC8,01-strength/THE_Hybrid_Strength_Formula_Registry.md,23,extracted_untrusted_pending_formula_and_source_validation
load.reactiveReduction.v1,strength,stableOpeningLoad × 0.95,load units,HYBRID_POLICY,Existing Hybrid default after repeated comparable deterioration. Not triggered by one poor set or pain diagnosis.,,SRC-66F207FF19AB7FC8,01-strength/THE_Hybrid_Strength_Formula_Registry.md,24,extracted_untrusted_pending_formula_and_source_validation
load.roundEquipment.v1,strength,"nearestAllowedIncrement(candidateLoad, equipmentProfile)",load units,HYBRID_POLICY,Must preserve machine/barbell/dumbbell constraints and unit.,,SRC-66F207FF19AB7FC8,01-strength/THE_Hybrid_Strength_Formula_Registry.md,25,extracted_untrusted_pending_formula_and_source_validation
e1rm.epley.v1,strength,load × (1 + reps ÷ 30),load units,HYBRID_POLICY,"Analytics only; exercise- and rep-range-specific, not a sole prescription input.",,SRC-66F207FF19AB7FC8,01-strength/THE_Hybrid_Strength_Formula_Registry.md,26,extracted_untrusted_pending_formula_and_source_validation
volume.directSets.v1,strength,Σ working sets where muscle is prime mover,sets/week,PRODUCT`/`SCIENCE` convention,Keep indirect exposure separately; do not silently apply a universal fractional-set multiplier.,,SRC-66F207FF19AB7FC8,01-strength/THE_Hybrid_Strength_Formula_Registry.md,27,extracted_untrusted_pending_formula_and_source_validation
weeklyFrequency.v1,strength,count distinct exposures for muscle in microcycle,exposures/week,HYBRID_POLICY,Used for distribution and recovery context; not a guarantee of better results.,,SRC-66F207FF19AB7FC8,01-strength/THE_Hybrid_Strength_Formula_Registry.md,28,extracted_untrusted_pending_formula_and_source_validation
deload.weekLast.v1,strength,cycleWeek = cycleLengthWeeks,boolean,PRODUCT` precedent,RP app default and a MacroFactor option; not universal physiology.,,SRC-66F207FF19AB7FC8,01-strength/THE_Hybrid_Strength_Formula_Registry.md,29,extracted_untrusted_pending_formula_and_source_validation
deload.rirIncrease.v1,strength,targetRir_deload > targetRir_accumulation,RIR,HYBRID_POLICY,"Exact increase is policy-controlled and tested, not recovered product code.",,SRC-66F207FF19AB7FC8,01-strength/THE_Hybrid_Strength_Formula_Registry.md,30,extracted_untrusted_pending_formula_and_source_validation
volume.addSet.v1,strength,no single scalar equation,sets,HYBRID_POLICY,"Requires priority, stimulus, recovery and performance predicates.",,SRC-66F207FF19AB7FC8,01-strength/THE_Hybrid_Strength_Formula_Registry.md,31,extracted_untrusted_pending_formula_and_source_validation
volume.reduceSet.v1,strength,no single scalar equation,sets,HYBRID_POLICY,Requires repeated poor recovery/performance or deload state.,,SRC-66F207FF19AB7FC8,01-strength/THE_Hybrid_Strength_Formula_Registry.md,32,extracted_untrusted_pending_formula_and_source_validation
cycle.bounds.v1,strength,defaultCustomCycles = 7; allowedCycles = 1..52; maxUniqueTrainingDaysPerCycle = 14,cycles/days,PRODUCT,Public MacroFactor program constraints; do not confuse cycle count with calendar duration.,,SRC-66F207FF19AB7FC8,01-strength/THE_Hybrid_Strength_Formula_Registry.md,33,extracted_untrusted_pending_formula_and_source_validation
rest.default.v1,strength,lowerBodyCompound = 180 seconds; upperBodyIsolation = 90 seconds,seconds,PRODUCT` anchor,Public defaults; readiness and performance can override.,,SRC-66F207FF19AB7FC8,01-strength/THE_Hybrid_Strength_Formula_Registry.md,34,extracted_untrusted_pending_formula_and_source_validation
warmup.example.v1,strength,"workingLoad × [0.40, 0.60, 0.80] × 3 reps",load/reps,PRODUCT` example,Public example only; exact warm-up defaults are unknown and warm-ups are excluded from working-set totals.,,SRC-66F207FF19AB7FC8,01-strength/THE_Hybrid_Strength_Formula_Registry.md,35,extracted_untrusted_pending_formula_and_source_validation
e1rm.analyticsBoundary.v1,strength,displayed e1RM = product-specific estimator,load units,UNKNOWN,"MacroFactor exposes estimated-strength analytics, but its exact equation and weighting are not public. Keep this separate from `e1rm.epley.v1`.",,SRC-66F207FF19AB7FC8,01-strength/THE_Hybrid_Strength_Formula_Registry.md,36,extracted_untrusted_pending_formula_and_source_validation
volume.fractionalIndirect.v1,strength,directSets + 0.5 × indirectSets,equivalent sets,SCIENCE`/`HYBRID_POLICY,Optional projection inspired by PMID 41343037; retain raw direct/indirect counts and allow policy replacement.,,SRC-66F207FF19AB7FC8,01-strength/THE_Hybrid_Strength_Formula_Registry.md,37,extracted_untrusted_pending_formula_and_source_validation
response.mdc.v1,strength,MDC = measurementSpecificMultiplier × typicalError,outcome units,SCIENCE`/`HYBRID_POLICY,Do not use a universal multiplier or classify a non-response from one block.,,SRC-66F207FF19AB7FC8,01-strength/THE_Hybrid_Strength_Formula_Registry.md,38,extracted_untrusted_pending_formula_and_source_validation
rir.calibration.v1,strength,rirError = reportedRir − observedOrAnchorRir,reps,SCIENCE`/`HYBRID_POLICY,Calibrate by exercise family and rep band; retain missingness and confidence.,,SRC-66F207FF19AB7FC8,01-strength/THE_Hybrid_Strength_Formula_Registry.md,39,extracted_untrusted_pending_formula_and_source_validation
measurement.sem.v1,strength,SEM = SD × sqrt(1 − ICC),outcome units,SCIENCE,Requires a standardised test-retest design; ICC alone is not enough.,,SRC-66F207FF19AB7FC8,01-strength/THE_Hybrid_Strength_Formula_Registry.md,40,extracted_untrusted_pending_formula_and_source_validation
measurement.mdc95.v1,strength,MDC95 = 1.96 × SEM × sqrt(2),outcome units,SCIENCE,"Indicates change beyond estimated measurement error, not meaningfulness or causation. Exercise/device-specific.",,SRC-66F207FF19AB7FC8,01-strength/THE_Hybrid_Strength_Formula_Registry.md,41,extracted_untrusted_pending_formula_and_source_validation
bmr.general.v1,nutrition,active,129.6 × weightKg^0.55 + 0.011 × heightCm^2 − ageAdjustment − 213.8 × sexCode,kcal/day,PRODUCT,"Published encoding: male `0`, female `1`; preserve the selected equation and sex mapping in provenance.",SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,19,extracted_untrusted_pending_formula_and_source_validation
bmr.general.ageAdjustment.v1,nutrition,active,"1.96 × min(age,60) + 4.9 × max(age−60,0)",kcal/day,PRODUCT,Used by the general equation.,SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,20,extracted_untrusted_pending_formula_and_source_validation
bmr.ffm.v1,nutrition,active,50.2 × FFMKg^0.7 + 40.5 × (FFMKg^0.7 × FMKg^0.066) − ageAdjustment,kcal/day,PRODUCT,Requires explicit FFM and FM provenance.,SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,21,extracted_untrusted_pending_formula_and_source_validation
bmr.ffm.ageAdjustment.v1,nutrition,active,"1.1 × min(age,60) + 2.75 × max(age−60,0)",kcal/day,PRODUCT,Used by the body-composition equation.,SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,22,extracted_untrusted_pending_formula_and_source_validation
bmr.athlete.v1,nutrition,feature-flag,40.4 × FFMKg^0.932,kcal/day,PRODUCT,MacroFactor’s public athlete equation. Classify by a versioned training-hours rule; do not infer from gym sessions alone.,SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,23,extracted_untrusted_pending_formula_and_source_validation
bmr.adaptation.deficit.v1,nutrition,active,adjustedBmr = bmr × 0.95` when currently in an energy deficit,kcal/day,PRODUCT,Initial-prior modifier only. It is not a diagnosis of metabolic adaptation.,SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,24,extracted_untrusted_pending_formula_and_source_validation
bmr.adaptation.lowWeight.v1,nutrition,active,adjustedBmr = bmr × 0.97` when current mass is >10% below highest recorded mass,kcal/day,PRODUCT,Requires a trustworthy highest-weight history.,SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,25,extracted_untrusted_pending_formula_and_source_validation
bmr.adaptation.combined.v1,nutrition,active,adjustedBmr ≈ bmr × 0.92` when both prior conditions apply,kcal/day,PRODUCT,Published approximate combined effect; do not multiply `0.95 × 0.97` and call it exact.,SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,26,extracted_untrusted_pending_formula_and_source_validation
expenditure.initial.v1,nutrition,active,adjustedBmr × (generalActivityFactor + exerciseCorrection),kcal/day,PRODUCT,Public table: general `1.2/1.4/1.6`; exercise `0/0.1/0.2/0.3`. Keep table versioned.,SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,27,extracted_untrusted_pending_formula_and_source_validation
expenditure.balance.v1,nutrition,active,caloriesOut = caloriesIn − storedEnergyChange,kcal/day,PRODUCT` + `SCIENCE,Core energy-balance identity; the stored-energy conversion is separately versioned.,SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,28,extracted_untrusted_pending_formula_and_source_validation
storedEnergy.symmetric7700.v1,nutrition,prototype,dailyStoredEnergyKcal = dailyWeightChangeKg × 7700,kcal/day,HYBRID_INFERENCE,Transparent approximation only; do not claim it is MacroFactor V3.,SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,29,extracted_untrusted_pending_formula_and_source_validation
trend.ewma.v1,nutrition,prototype,trend_t = α×observedWeight_t + (1−α)×trend_(t−1),kg,HYBRID_INFERENCE,"Candidate filter. `α` must be configuration, logged and validated; exact MacroFactor coefficients are unknown.",SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,30,extracted_untrusted_pending_formula_and_source_validation
changeRate.20day.v1,nutrition,active,(trendTodayKg − trend20DaysAgoKg) ÷ 20 × 7,kg/week,PRODUCT,"Public 20-day horizon; use trend weight, not raw weight.",SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,31,extracted_untrusted_pending_formula_and_source_validation
changeRate.percent.v1,nutrition,active,weeklyChangeKg ÷ referenceWeightKg × 100,%/week,PRODUCT,Reference-weight choice must be explicit and versioned.,SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,32,extracted_untrusted_pending_formula_and_source_validation
target.signedRate.v1,nutrition,prototype,targetKcal = expenditureKcal + signedRateKgPerWeek × 7700 ÷ 7,kcal/day,HYBRID_INFERENCE,"Signed rate: loss negative, gain positive. Approximate energy conversion.",SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,33,extracted_untrusted_pending_formula_and_source_validation
budget.weekly.v1,nutrition,active,weeklyBudgetKcal = Σ dailyTargetKcal over 7 days,kcal/week,PRODUCT,Distribution can change; weekly total remains the control variable in coached/collaborative modes.,SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,34,extracted_untrusted_pending_formula_and_source_validation
macro.energyFactors.v1,nutrition,active,"protein `4`, carbohydrate `4`, fat `9",kcal/g,PRODUCT` convention,Database calories remain primary because label energy and macro arithmetic can differ.,SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,35,extracted_untrusted_pending_formula_and_source_validation
protein.ffm.v1,nutrition,prototype,FFM = bodyMassKg × (1 − bodyFatFraction)`; `protein = bounded(rate × FFM),g/day,HYBRID_INFERENCE` + `SCIENCE,Store body-mass versus FFM basis with every target. Smart-scale FFM requires uncertainty.,SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,36,extracted_untrusted_pending_formula_and_source_validation
protein.lifterTable.v2025,nutrition,reference,Bulk/maintain `1.75/2.35/2.75/3.10`; cut `2.00/2.50/3.00/3.50` g/kg FFM for low/moderate/high/extra,g/kg FFM,PRODUCT,Lifter-specific product reference; do not apply unchanged to endurance athletes.,SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,37,extracted_untrusted_pending_formula_and_source_validation
fat.floor.v1,nutrition,active,"max(30, 30 + 0.5 × (heightCm − 150))",g/day,PRODUCT,"For height <150 cm use 30 g/day. Product guardrail, not universal medical minimum.",SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,38,extracted_untrusted_pending_formula_and_source_validation
goalPrior.multiplier.v1,nutrition,feature-flag,1 + 4 × intendedRateFractionPerWeek,multiplier,PRODUCT` report,"Creator-reported heuristic; cap, decay and interactions remain private. Validate against a no-modifier control.",SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,39,extracted_untrusted_pending_formula_and_source_validation
energyAvailability.proxy.v1,nutrition,safety-only,(intakeKcal − exerciseEnergyExpenditureKcal) ÷ FFMKg,kcal/kg FFM/day,SCIENCE,Risk proxy only. No universal diagnostic threshold. Exercise expenditure is uncertain.,SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,40,extracted_untrusted_pending_formula_and_source_validation
